age_grp,Count,Notes,Rate
0-1,13.0,*,3.1
0-1,6.0,*,2.16
0-1,11.0,*,1.98
0-1,27.0,,3.8
0-1,11.0,*,4.69
0-1,18.0,*,5.84
0-1,6.0,*,2.47
0-1,11.0,*,5.13
0-1,51.0,,1.68
0-1,82.0,,4.55
0-1,53.0,,6.23
0-1,7.0,*,4.29
0-1,28.0,,3.67
0-1,34.0,,5.51
0-1,41.0,,2.98
0-1,5.0,*,4.19
0-1,43.0,,2.35
0-1,14.0,*,5.68
0-1,5.0,*,3.83
0-1,35.0,,2.36
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,136.0,,2.96
0-1,17.0,*,4.63
0-1,49.0,,3.43
0-1,14.0,*,4.72
0-1,14.0,*,3.06
0-1,7.0,*,6.1
0-1,8.0,*,2.49
0-1,8.0,*,4.42
0-1,7.0,*,4.22
0-1,12.0,*,4.43
0-1,39.0,,5.57
0-1,57.0,,2.94
0-1,9.0,*,3.69
0-1,9.0,*,2.99
0-1,9.0,*,2.92
0-1,9.0,*,2.8
0-1,12.0,*,3.67
0-1,6.0,*,1.74
0-1,10.0,*,2.93
0-1,11.0,*,2.91
0-1,8.0,*,2.19
0-1,6.0,*,1.69
0-1,5.0,*,1.42
0-1,18.0,*,5.07
0-1,5.0,*,1.4
0-1,11.0,*,3.14
0-1,0.0,,0.0
0-1,5.0,*,1.4
0-1,9.0,*,2.99
0-1,9.0,*,2.92
0-1,9.0,*,2.8
0-1,12.0,*,3.67
0-1,6.0,*,1.74
0-1,10.0,*,2.93
0-1,11.0,*,2.91
0-1,8.0,*,2.19
0-1,6.0,*,1.69
0-1,5.0,*,1.42
0-1,18.0,*,5.07
0-1,5.0,*,1.4
0-1,11.0,*,3.14
0-1,0.0,,0.0
0-1,5.0,*,1.4
0-1,124.0,,2.4
0-1,7.0,*,3.4
0-1,8.0,*,4.76
0-1,13.0,*,3.21
0-1,42.0,,5.33
0-1,11.0,*,6.08
0-1,33.0,,3.26
0-1,30.0,,2.96
0-1,35.0,,3.45
0-1,32.0,,3.1
0-1,26.0,,2.51
0-1,15.0,*,1.4
0-1,32.0,,3.01
0-1,24.0,,2.29
0-1,23.0,,2.22
0-1,36.0,,3.69
0-1,21.0,,2.19
0-1,29.0,,3.01
0-1,33.0,,3.48
0-1,22.0,,2.31
0-1,25.0,,2.68
0-1,33.0,,3.26
0-1,30.0,,2.96
0-1,35.0,,3.45
0-1,32.0,,3.1
0-1,26.0,,2.51
0-1,15.0,*,1.4
0-1,32.0,,3.01
0-1,24.0,,2.29
0-1,23.0,,2.22
0-1,36.0,,3.69
0-1,21.0,,2.19
0-1,29.0,,3.01
0-1,33.0,,3.48
0-1,22.0,,2.31
0-1,25.0,,2.68
0-1,416.0,,2.76
0-1,76.0,,2.9
0-1,90.0,,2.17
0-1,31.0,,2.83
0-1,47.0,,6.55
0-1,27.0,,4.49
0-1,22.0,,2.92
0-1,42.0,,3.93
0-1,10.0,*,4.26
0-1,8.0,*,3.19
0-1,5.0,*,1.8
0-1,7.0,*,3.17
0-1,19.0,*,3.27
0-1,10.0,*,1.97
0-1,16.0,*,3.39
0-1,12.0,*,4.4
0-1,10.0,*,3.17
0-1,9.0,*,4.01
0-1,9.0,*,2.32
0-1,15.0,*,4.13
0-1,42.0,,3.77
0-1,6.0,*,1.71
0-1,14.0,*,3.07
0-1,11.0,*,3.11
0-1,39.0,,4.35
0-1,38.0,,4.69
0-1,11.0,*,3.27
0-1,41.0,,2.48
0-1,18.0,*,3.15
0-1,12.0,*,1.06
0-1,7.0,*,4.57
0-1,17.0,*,3.58
0-1,11.0,*,2.67
0-1,26.0,,9.63
0-1,23.0,,5.15
0-1,7.0,*,6.54
0-1,23.0,,2.72
0-1,133.0,,1.96
0-1,8.0,*,5.75
0-1,68.0,,5.92
0-1,20.0,,3.8
0-1,17.0,*,3.3
0-1,9.0,*,1.71
0-1,14.0,*,2.68
0-1,11.0,*,2.17
0-1,14.0,*,2.61
0-1,12.0,*,2.26
0-1,15.0,*,2.77
0-1,14.0,*,2.73
0-1,16.0,*,3.3
0-1,9.0,*,1.82
0-1,15.0,*,3.19
0-1,22.0,,4.69
0-1,9.0,*,1.92
0-1,9.0,*,1.96
0-1,20.0,,3.8
0-1,17.0,*,3.3
0-1,9.0,*,1.71
0-1,14.0,*,2.68
0-1,11.0,*,2.17
0-1,14.0,*,2.61
0-1,12.0,*,2.26
0-1,15.0,*,2.77
0-1,14.0,*,2.73
0-1,16.0,*,3.3
0-1,9.0,*,1.82
0-1,15.0,*,3.19
0-1,22.0,,4.69
0-1,9.0,*,1.92
0-1,9.0,*,1.96
0-1,206.0,,2.72
0-1,35.0,,2.82
0-1,21.0,,1.73
0-1,25.0,,2.05
0-1,24.0,,1.97
0-1,28.0,,2.33
0-1,33.0,,2.65
0-1,29.0,,2.35
0-1,28.0,,2.3
0-1,27.0,,2.29
0-1,18.0,*,1.55
0-1,33.0,,2.77
0-1,29.0,,2.51
0-1,31.0,,2.69
0-1,18.0,*,1.54
0-1,33.0,,2.83
0-1,35.0,,2.82
0-1,21.0,,1.73
0-1,25.0,,2.05
0-1,24.0,,1.97
0-1,28.0,,2.33
0-1,33.0,,2.65
0-1,29.0,,2.35
0-1,28.0,,2.3
0-1,27.0,,2.29
0-1,18.0,*,1.55
0-1,33.0,,2.77
0-1,29.0,,2.51
0-1,31.0,,2.69
0-1,18.0,*,1.54
0-1,33.0,,2.83
0-1,412.0,,2.29
0-1,9.0,*,3.25
0-1,28.0,,5.24
0-1,9.0,*,2.15
0-1,5.0,*,3.55
0-1,39.0,,4.22
0-1,27.0,,6.1
0-1,11.0,*,2.71
0-1,17.0,*,2.77
0-1,30.0,,6.24
0-1,12.0,*,5.52
0-1,12.0,*,1.51
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,0.0,,0.0
0-1,11.0,*,2.87
0-1,258.0,,3.43
0-1,258.0,,3.43
0-1,231.0,,3.0
0-1,231.0,,2.97
0-1,256.0,,3.26
0-1,196.0,,2.41
0-1,210.0,,2.56
0-1,228.0,,2.82
0-1,217.0,,2.75
0-1,246.0,,3.21
0-1,215.0,,2.83
0-1,225.0,,2.98
0-1,235.0,,3.12
0-1,181.0,,2.41
0-1,213.0,,2.84
0-1,258.0,,3.43
0-1,258.0,,3.43
0-1,231.0,,3.0
0-1,231.0,,2.97
0-1,256.0,,3.26
0-1,196.0,,2.41
0-1,210.0,,2.56
0-1,228.0,,2.82
0-1,217.0,,2.75
0-1,246.0,,3.21
0-1,215.0,,2.83
0-1,225.0,,2.98
0-1,235.0,,3.12
0-1,181.0,,2.41
0-1,213.0,,2.84
0-1,3400.0,,2.93
0-1,258.0,,3.43
0-1,258.0,,3.43
0-1,232.0,,3.01
0-1,231.0,,2.97
0-1,256.0,,3.26
0-1,196.0,,2.41
0-1,210.0,,2.56
0-1,228.0,,2.82
0-1,217.0,,2.75
0-1,246.0,,3.21
0-1,215.0,,2.83
0-1,225.0,,2.98
0-1,236.0,,3.14
0-1,181.0,,2.41
0-1,213.0,,2.84
0-1,258.0,,3.43
0-1,258.0,,3.43
0-1,232.0,,3.01
0-1,231.0,,2.97
0-1,256.0,,3.26
0-1,196.0,,2.41
0-1,210.0,,2.56
0-1,228.0,,2.82
0-1,217.0,,2.75
0-1,246.0,,3.21
0-1,215.0,,2.83
0-1,225.0,,2.98
0-1,236.0,,3.14
0-1,181.0,,2.41
0-1,213.0,,2.84
0-1,3402.0,,2.93
1-4,152.0,,9.75
1-4,48.0,,4.19
1-4,29.0,,7.73
1-4,11.0,*,8.51
1-4,8.0,*,6.42
1-4,7.0,*,5.79
1-4,9.0,*,6.78
1-4,12.0,*,8.67
1-4,12.0,*,8.74
1-4,16.0,*,11.39
1-4,13.0,*,9.4
1-4,18.0,*,12.95
1-4,14.0,*,10.3
1-4,12.0,*,9.05
1-4,16.0,*,12.13
1-4,10.0,*,7.83
1-4,11.0,*,8.93
1-4,11.0,*,8.8
